volunteer_name,hours_contributed,project,region
Mohammed Alotaibi,10,Clean Water,Riyadh
Fatima Alzahrani,8,Education,Jeddah
Abdullah Alahmad,12,Health,Dammam
Sara Alassiri,5,Clean Water,Mecca
Khalid Alqahtani,7,Education,Riyadh
Laila Alharbi,9,Health,Dammam
Faisal Alshahrani,11,Clean Water,Jeddah
Noura Alshahri,6,Education,Mecca
Omar Alothman,10,Health,Riyadh
Hind Alabdullah,8,Clean Water,Dammam
Saleh Almutairi,7,Education,Jeddah
Aisha Almansour,9,Health,Mecca
Yousef Alghamdi,12,Clean Water,Riyadh
Rana Alqahtani,6,Education,Dammam
Hassan Alshahrani,8,Health,Jeddah
Leen Alzahrani,10,Clean Water,Mecca
Majed Alharbi,7,Education,Riyadh
Mona Alothman,11,Health,Dammam
Nabil Almansour,5,Clean Water,Jeddah
Sultan Alqahtani,9,Education,Mecca
Huda Alshahri,10,Health,Riyadh
Fahad Almutairi,8,Clean Water,Dammam
Lama Alharbi,7,Education,Jeddah
Adel Alzahrani,12,Health,Mecca
Rima Alotaibi,6,Clean Water,Riyadh
Turki Alshahrani,10,Education,Dammam
Nada Almansour,9,Health,Jeddah
Saad Alothman,8,Clean Water,Mecca
Amal Alqahtani,11,Education,Riyadh
Majd Alharbi,7,Health,Dammam
Hala Alzahrani,10,Clean Water,Jeddah
Yazan Alshahrani,6,Education,Mecca
Alya Almansour,9,Health,Riyadh
Rashed Alotaibi,8,Clean Water,Dammam
Lina Almutairi,7,Education,Jeddah
Badr Alharbi,12,Health,Mecca
Haneen Alqahtani,10,Clean Water,Riyadh
Khaled Almansour,9,Education,Dammam
Dana Alshahrani,8,Health,Jeddah
Mohammed Alotaibi,7,Clean Water,Mecca
Fatima Alzahrani,10,Education,Riyadh
Abdullah Alahmad,9,Health,Dammam
Sara Alassiri,8,Clean Water,Jeddah
Khalid Alqahtani,11,Education,Mecca
Laila Alharbi,6,Health,Riyadh
Faisal Alshahrani,10,Clean Water,Dammam
Noura Alshahri,7,Education,Jeddah
Omar Alothman,9,Health,Mecca
Hind Alabdullah,8,Clean Water,Riyadh
Saleh Almutairi,5,Education,Dammam
